576, 576, 576, 0.238170, 0.057502, 0.093786
608, 608, 608, 0.226458, 0.057193, 0.091535
640, 640, 640, 0.216354, 0.053722, 0.089325
672, 672, 672, 0.207415, 0.052416, 0.087765
704, 704, 704, 0.199701, 0.066848, 0.109365
736, 736, 736, 0.191332, 0.066016, 0.107183
768, 768, 768, 0.184845, 0.061549, 0.104241
800, 800, 800, 0.178276, 0.063622, 0.104495
832, 832, 832, 0.172282, 0.061500, 0.102323
864, 864, 864, 0.166711, 0.061534, 0.101564
896, 896, 896, 0.161828, 0.056727, 0.099456
928, 928, 928, 0.156585, 0.058705, 0.099855
960, 960, 960, 0.152951, 0.056373, 0.098276
992, 992, 992, 0.148806, 0.056934, 0.096988
1024, 1024, 1024, 0.144817, 0.057082, 0.094835
32, 32, 32, 14.015008, 1.424263, 1.429756
64, 64, 64, 6.987076, 0.718035, 0.724768
96, 96, 96, 4.666560, 0.482554, 0.488405
128, 128, 128, 3.507029, 0.365239, 0.371315
160, 160, 160, 2.811296, 0.294675, 0.300751
192, 192, 192, 2.355153, 0.247915, 0.261052
224, 224, 224, 2.016484, 0.214769, 0.245894
256, 256, 256, 1.767433, 0.191198, 0.239529
288, 288, 288, 1.574639, 0.170321, 0.245826
320, 320, 320, 1.419164, 0.159413, 0.252721
352, 352, 352, 1.293161, 0.168316, 0.265325
384, 384, 384, 1.187987, 0.158767, 0.253175
416, 416, 416, 1.098479, 0.178379, 0.280939
448, 448, 448, 1.022131, 0.170863, 0.270340
480, 480, 480, 0.955565, 0.161284, 0.260612
512, 512, 512, 0.897758, 0.153764, 0.249798
544, 544, 544, 0.845739, 0.187413, 0.294321
576, 576, 576, 0.802180, 0.180151, 0.288527
608, 608, 608, 0.760175, 0.178035, 0.278857
640, 640, 640, 0.725613, 0.165946, 0.269973
672, 672, 672, 0.692941, 0.161062, 0.266468
704, 704, 704, 0.661033, 0.221495, 0.344849
736, 736, 736, 0.634221, 0.214699, 0.336922
768, 768, 768, 0.608841, 0.198780, 0.326413
800, 800, 800, 0.585340, 0.206106, 0.326430
832, 832, 832, 0.563691, 0.196386, 0.320235
864, 864, 864, 0.545129, 0.199142, 0.314707
896, 896, 896, 0.525054, 0.179328, 0.308230
928, 928, 928, 0.508175, 0.189355, 0.307778
960, 960, 960, 0.493943, 0.180442, 0.302575
992, 992, 992, 0.478097, 0.180117, 0.298861
1024, 1024, 1024, 0.463168, 0.179520, 0.290229
32, 32, 32, 50.130699, 5.116128, 5.123972
64, 64, 64, 26.835371, 2.727755, 2.737963
96, 96, 96, 18.608631, 1.891599, 1.902016
128, 128, 128, 13.969572, 1.421879, 1.432350
160, 160, 160, 11.187841, 1.138812, 1.148561
192, 192, 192, 9.332272, 0.951354, 0.992021
224, 224, 224, 8.007346, 0.817333, 0.934756
256, 256, 256, 7.012068, 0.716651, 0.908646
288, 288, 288, 6.241002, 0.638244, 0.934306
320, 320, 320, 5.622370, 0.575680, 0.960397
352, 352, 352, 5.114965, 0.595770, 1.013404
384, 384, 384, 4.694362, 0.559676, 0.962178
416, 416, 416, 4.337634, 0.613065, 1.073986
448, 448, 448, 4.031189, 0.585536, 1.033028
480, 480, 480, 3.765538, 0.554406, 0.992789
512, 512, 512, 3.533683, 0.531878, 0.945813
544, 544, 544, 3.329662, 0.668920, 1.128450
576, 576, 576, 3.146238, 0.634406, 1.102910
608, 608, 608, 2.983985, 0.668249, 1.062735
640, 640, 640, 2.837135, 0.576785, 1.027753
672, 672, 672, 2.705685, 0.563181, 1.010842
704, 704, 704, 2.583447, 0.780288, 1.329673
736, 736, 736, 2.473479, 0.767979, 1.298541
768, 768, 768, 2.371750, 0.690413, 1.256401
800, 800, 800, 2.279373, 0.723921, 1.255253
832, 832, 832, 2.193824, 0.687917, 1.231232
864, 864, 864, 2.114938, 0.697830, 1.209638
896, 896, 896, 2.041220, 0.622778, 1.182893
928, 928, 928, 1.973393, 0.662191, 1.181521
960, 960, 960, 1.909169, 0.628386, 1.158746
992, 992, 992, 1.849990, 0.637943, 1.142790
1024, 1024, 1024, 1.793927, 0.628375, 1.109745
